# 2026-09-21 arXiv 收割清单：37 组查询 369 条 + 定点 75 条（并集 388 条）。group 为报告 §3 的摘要分组；「仅收割未摘要」= 命中查询但与主题弱相关或未进正文。
group	published	arxiv_id	title
A 部首/IDS/笔画结构识别与零样本	2014-04-22	1404.5585	A Structural Query System for Han Characters
A 部首/IDS/笔画结构识别与零样本	2015-09-19	1509.05844	Similar Handwritten Chinese Character Discrimination by Weakly Supervised Learning
A 部首/IDS/笔画结构识别与零样本	2017-11-03	1711.01889	Radical analysis network for zero-shot learning in printed Chinese character recognition
A 部首/IDS/笔画结构识别与零样本	2018-01-22	1801.10109	Trajectory-based Radical Analysis Network for Online Handwritten Chinese Character Recognition
A 部首/IDS/笔画结构识别与零样本	2018-08-13	1808.04134	DenseRAN for Offline Handwritten Chinese Character Recognition
A 部首/IDS/笔画结构识别与零样本	2018-08-27	1808.08993	Open Set Chinese Character Recognition using Multi-typed Attributes
A 部首/IDS/笔画结构识别与零样本	2018-11-15	1811.06347	Deep Template Matching for Offline Handwritten Chinese Character Recognition
A 部首/IDS/笔画结构识别与零样本	2019-08-30	1908.11550	Handwritten Chinese Character Recognition by Convolutional Neural Network and Similarity Ranking
A 部首/IDS/笔画结构识别与零样本	2019-10-12	1910.05545	Template-Instance Loss for Offline Handwritten Chinese Character Recognition
A 部首/IDS/笔画结构识别与零样本	2019-10-22	1910.09728	Convolutional Prototype Learning for Zero-Shot Recognition
A 部首/IDS/笔画结构识别与零样本	2020-04-20	2004.09412	Characters as Graphs: Recognizing Online Handwritten Chinese Characters via Spatial Graph Convolutional Network
A 部首/IDS/笔画结构识别与零样本	2020-07-09	2007.04651	Maximum Entropy Regularization and Chinese Text Recognition
A 部首/IDS/笔画结构识别与零样本	2020-10-09	2010.04382	Weaponizing Unicodes with Deep Learning -- Identifying Homoglyphs with Weakly Labeled Data
A 部首/IDS/笔画结构识别与零样本	2021-03-17	2103.09714	Interpretable Distance Metric Learning for Handwritten Chinese Character Recognition
A 部首/IDS/笔画结构识别与零样本	2021-04-06	2104.02236	Hippocampus-heuristic Character Recognition Network for Zero-shot Learning
A 部首/IDS/笔画结构识别与零样本	2021-06-22	2106.11613	Zero-Shot Chinese Character Recognition with Stroke-Level Decomposition
A 部首/IDS/笔画结构识别与零样本	2021-12-30	2112.15093	Benchmarking Chinese Text Recognition: Datasets, Baselines, and an Empirical Study
A 部首/IDS/笔画结构识别与零样本	2022-03-10	2203.05179	Towards Open-Set Text Recognition via Label-to-Prototype Learning
A 部首/IDS/笔画结构识别与零样本	2022-04-12	2204.05535	Open-set Text Recognition via Character-Context Decoupling
A 部首/IDS/笔画结构识别与零样本	2022-07-12	2207.05842	RZCR: Zero-shot Character Recognition via Radical-based Reasoning
A 部首/IDS/笔画结构识别与零样本	2022-07-17	2207.08191	Stroke-Based Autoencoders: Self-Supervised Learners for Efficient Zero-Shot Chinese Character Recognition
A 部首/IDS/笔画结构识别与零样本	2022-10-05	2210.02576	Reading Chinese in Natural Scenes with a Bag-of-Radicals Prior
A 部首/IDS/笔画结构识别与零样本	2022-10-16	2210.08490	STAR: Zero-Shot Chinese Character Recognition with Stroke- and Radical-Level Decompositions
A 部首/IDS/笔画结构识别与零样本	2022-11-24	2211.13518	Chinese Character Recognition with Radical-Structured Stroke Trees
A 部首/IDS/笔画结构识别与零样本	2023-05-24	2305.14672	Quantifying Character Similarity with Vision Transformers
A 部首/IDS/笔画结构识别与零样本	2023-05-25	2305.15660	Zero-shot Generation of Training Data with Denoising Diffusion Probabilistic Model for Handwritten Chinese Character Recognition
A 部首/IDS/笔画结构识别与零样本	2023-06-12	2306.07200	Fill-Up: Balancing Long-Tailed Data with Generative Models
A 部首/IDS/笔画结构识别与零样本	2023-07-30	2307.16253	Count, Decode and Fetch: A New Approach to Handwritten Chinese Character Error Correction
A 部首/IDS/笔画结构识别与零样本	2023-08-01	2308.00655	Toward Zero-shot Character Recognition: A Gold Standard Dataset with Radical-level Annotations
A 部首/IDS/笔画结构识别与零样本	2023-09-03	2309.01083	Chinese Text Recognition with A Pre-Trained CLIP-Like Model Through Image-IDS Aligning
A 部首/IDS/笔画结构识别与零样本	2024-03-20	2403.13761	HierCode: A Lightweight Hierarchical Codebook for Zero-shot Chinese Text Recognition
A 部首/IDS/笔画结构识别与零样本	2024-04-19	2404.12693	Improving Chinese Character Representation with Formation Tree
A 部首/IDS/笔画结构识别与零样本	2024-06-05	2406.03019	Puzzle Pieces Picker: Deciphering Ancient Chinese Characters with Radical Reconstruction
A 部首/IDS/笔画结构识别与零样本	2024-09-10	2409.06381	A Cross-Font Image Retrieval Network for Recognizing Undeciphered Oracle Bone Inscriptions
A 部首/IDS/笔画结构识别与零样本	2024-11-10	2411.06381	SAN: Structure-Aware Network for Complex and Long-tailed Chinese Text Recognition
A 部首/IDS/笔画结构识别与零样本	2025-05-30	2505.24837	Zero-Shot Chinese Character Recognition with Hierarchical Multi-Granularity Image-Text Aligning
A 部首/IDS/笔画结构识别与零样本	2025-06-04	2506.03798	CoLa: Chinese Character Decomposition with Compositional Latent Components
A 部首/IDS/笔画结构识别与零样本	2025-06-05	2506.04807	MegaHan97K: A Large-Scale Dataset for Mega-Category Chinese Character Recognition with over 97K Categories
A 部首/IDS/笔画结构识别与零样本	2026-02-03	2602.03913	Entropy-Aware Structural Alignment for Zero-Shot Handwritten Chinese Character Recognition
A 部首/IDS/笔画结构识别与零样本	2026-03-08	2603.07497	AMR-CCR: Anchored Modular Retrieval for Continual Chinese Character Recognition
A 部首/IDS/笔画结构识别与零样本	2026-04-01	2604.09668	Decoding Ancient Oracle Bone Script via Generative Dictionary Retrieval
