old_id	new_id	action	char	cov
vol01:10:1:9	vol01:10:1:10	rekey	轕	0.9989
vol01:10:1:10	vol01:10:1:11	rekey	於	0.9994
vol01:10:1:11	vol01:10:1:12	rekey	易	0.9996
vol01:10:1:12	vol01:10:1:13	rekey	先	0.9995
vol01:10:1:13	vol01:10:1:14	rekey	列	0.9995
vol01:10:1:14	vol01:10:1:15	rekey	蒙	0.9994
vol01:10:1:15	vol01:10:1:16	rekey	卦	0.9995
vol01:10:1:16	vol01:10:1:17	rekey	於	0.9997
vol01:10:1:17	vol01:10:1:18	rekey	詩	0.9993
vol01:10:1:18	vol01:10:1:19	rekey	先	0.9996
vol01:10:1:1	vol01:10:1:2	rekey	籍	0.9995
vol01:10:1:19	vol01:10:1:20	rekey	列	0.9997
vol01:10:1:20	vol01:10:1:21	rekey	大	0.9996
vol01:10:1:2	vol01:10:1:3	rekey	根	0.9996
vol01:10:1:3	vol01:10:1:4	rekey	源	0.9995
vol01:10:1:4	vol01:10:1:5	rekey	乃	0.9993
vol01:10:1:5	vol01:10:1:6	rekey	因	0.9998
vol01:10:1:6	vol01:10:1:7	rekey	各	0.9996
vol01:10:1:7	vol01:10:1:8	rekey	韻	0.9993
vol01:10:1:8	vol01:10:1:9	rekey	轇	0.9989
vol01:10:2:9	vol01:10:2:10	rekey	且	0.9996
vol01:10:2:10	vol01:10:2:11	rekey	採	0.9995
vol01:10:2:11	vol01:10:2:12	rekey	用	0.9997
vol01:10:2:12	vol01:10:2:13	rekey	各	0.9996
vol01:10:2:13	vol01:10:2:14	rekey	字	0.9996
vol01:10:2:14	vol01:10:2:15	rekey	不	0.9995
vol01:10:2:15	vol01:10:2:16	rekey	論	0.9993
vol01:10:2:16	vol01:10:2:17	rekey	易	0.9996
vol01:10:2:17	vol01:10:2:18	rekey	書	0.9996
vol01:10:2:18	vol01:10:2:19	rekey	詩	0.9995
vol01:10:2:1	vol01:10:2:2	rekey	東	0.9996
vol01:10:2:19	vol01:10:2:20	rekey	禮	0.9994
vol01:10:2:20	vol01:10:2:21	rekey	春	0.9997
