# 合法字表（码位区间）。列：起	止	来源
U+348B	U+348B	corpus
U+34DC	U+34DC	corpus
U+3654	U+3654	corpus
U+3750	U+3750	corpus
U+3861	U+3861	corpus
U+3A41	U+3A41	corpus
U+3AE4	U+3AE4	corpus
U+3B0A	U+3B0A	corpus
U+3B9A	U+3B9A	corpus
U+3BAE	U+3BAE	corpus
U+3CFF	U+3CFF	corpus
U+3D36	U+3D36	corpus
U+3D9F	U+3D9F	corpus
U+3E01	U+3E01	corpus
U+3F49	U+3F49	corpus
U+3F63	U+3F63	corpus
U+3FEA	U+3FEA	corpus
U+40FE	U+40FE	corpus
U+417B	U+417B	corpus
U+4202	U+4202	corpus
U+42B7	U+42B7	corpus
U+4330	U+4330	corpus
U+4367	U+4367	corpus
U+4407	U+4407	corpus
U+44AB	U+44AB	corpus
U+4576	U+4576	corpus
U+4633	U+4633	corpus
U+47FD	U+47FD	corpus
U+48DB	U+48DB	corpus
U+4E00	U+4E01	corpus
U+4E03	U+4E03	corpus
U+4E08	U+4E0B	corpus
U+4E0D	U+4E0D	corpus
U+4E10	U+4E11	corpus
U+4E14	U+4E16	corpus
U+4E18	U+4E19	corpus
U+4E1E	U+4E1E	corpus
U+4E26	U+4E27	corpus
U+4E2A	U+4E2B	corpus
U+4E2D	U+4E2D	corpus
U+4E30	U+4E30	corpus
U+4E32	U+4E32	corpus
U+4E38	U+4E39	corpus
U+4E3B	U+4E3B	corpus
U+4E42	U+4E43	corpus
U+4E45	U+4E45	corpus
U+4E4B	U+4E4B	corpus
U+4E4D	U+4E4F	corpus
U+4E56	U+4E56	corpus
U+4E58	U+4E59	corpus
U+4E5D	U+4E5F	corpus
U+4E73	U+4E73	corpus
U+4E7E	U+4E7E	corpus
U+4E82	U+4E82	corpus
U+4E86	U+4E86	corpus
U+4E88	U+4E88	corpus
U+4E8B	U+4E8C	corpus
U+4E8E	U+4E8E	corpus
U+4E91	U+4E92	corpus
U+4E94	U+4E95	corpus
U+4E98	U+4E98	corpus
U+4E9E	U+4E9F	corpus
U+4EA1	U+4EA2	corpus
U+4EA4	U+4EA6	corpus
U+4EA8	U+4EA8	corpus
U+4EAB	U+4EAE	corpus
U+4EB3	U+4EB3	corpus
U+4EB6	U+4EB7	corpus
U+4EB9	U+4EBA	corpus
U+4EC0	U+4EC1	corpus
U+4EC4	U+4EC4	corpus
U+4EC7	U+4EC7	corpus
U+4ECA	U+4ECB	corpus
U+4ECD	U+4ECE	corpus
U+4ED5	U+4ED6	corpus
U+4ED8	U+4ED9	corpus
U+4EE3	U+4EE5	corpus
U+4EF0	U+4EF0	corpus
U+4EF2	U+4EF2	corpus
U+4EFB	U+4EFB	corpus
U+4EFD	U+4EFD	corpus
U+4EFF	U+4EFF	corpus
U+4F01	U+4F01	corpus
U+4F09	U+4F0B	corpus
U+4F0D	U+4F0D	corpus
U+4F0F	U+4F11	corpus
U+4F2F	U+4F2F	corpus
U+4F34	U+4F34	corpus
U+4F36	U+4F36	corpus
U+4F38	U+4F38	corpus
U+4F3C	U+4F3C	corpus
U+4F43	U+4F43	corpus
U+4F46	U+4F46	corpus
U+4F4D	U+4F4E	corpus
U+4F50	U+4F51	corpus
U+4F54	U+4F55	corpus
U+4F57	U+4F57	corpus
U+4F59	U+4F5C	corpus
U+4F5E	U+4F5E	corpus
U+4F69	U+4F69	corpus
U+4F73	U+4F73	corpus
U+4F75	U+4F76	corpus
U+4F7A	U+4F7C	corpus
U+4F7F	U+4F7F	corpus
U+4F83	U+4F83	corpus
U+4F86	U+4F86	corpus
U+4F88	U+4F88	corpus
U+4F8B	U+4F8B	corpus
U+4F8D	U+4F8D	corpus
U+4F8F	U+4F8F	corpus
U+4F91	U+4F91	corpus
U+4F94	U+4F94	corpus
U+4F9B	U+4F9B	corpus
U+4F9D	U+4F9D	corpus
U+4FAE	U+4FAF	corpus
U+4FB5	U+4FB5	corpus
U+4FBF	U+4FBF	corpus
U+4FC2	U+4FC2	corpus
U+4FCA	U+4FCA	corpus
U+4FCE	U+4FCE	corpus
U+4FD7	U+4FD8	corpus
U+4FDA	U+4FDA	corpus
U+4FDD	U+4FE1	corpus
U+4FEE	U+4FEF	corpus
U+4FF1	U+4FF1	corpus
U+4FF3	U+4FF3	corpus
U+4FF6	U+4FF6	corpus
U+4FFE	U+4FFE	corpus
U+5000	U+5000	corpus
U+5005	U+5005	corpus
U+5009	U+5009	corpus
U+500D	U+500D	corpus
U+5010	U+5010	corpus
U+5012	U+5012	corpus
U+5014	U+5014	corpus
U+5016	U+5016	corpus
U+5018	U+501A	corpus
U+501E	U+501F	corpus
U+5021	U+5021	corpus
U+5023	U+5023	corpus
U+5026	U+5026	corpus
U+5028	U+502D	corpus
U+5036	U+5036	corpus
U+503C	U+503C	corpus
U+5041	U+5041	corpus
U+5047	U+5049	corpus
U+504F	U+504F	corpus
U+5053	U+5053	corpus
U+5055	U+5055	corpus
U+505C	U+505C	corpus
U+5065	U+5065	corpus
U+506A	U+506A	corpus
U+5072	U+5072	corpus
U+5074	U+5074	corpus
U+5076	U+5076	corpus
U+5083	U+5083	corpus
U+5085	U+5085	corpus
U+508B	U+508B	corpus
U+508D	U+508E	corpus
U+5091	U+5091	corpus
U+5099	U+5099	corpus
U+50AC	U+50AD	corpus
U+50B3	U+50B3	corpus
U+50B7	U+50B7	corpus
U+50BE	U+50BE	corpus
U+50C5	U+50C5	corpus
U+50C9	U+50C9	corpus
U+50CE	U+50CF	corpus
U+50D1	U+50D1	corpus
U+50D5	U+50D6	corpus
U+50DA	U+50DA	corpus
U+50DE	U+50DE	corpus
U+50E3	U+50E3	corpus
