# 异体字 → 正字（语义层映射，仅供语言模型与阅读辅助）。
# 格式：异体字	正字	来源。字形层标签永远保留精确异体字形，绝不按此表合并。
# 自动来源：Unihan kSemanticVariant/kSpecializedSemanticVariant/kZVariant/kTraditionalVariant/kSimplifiedVariant（已排除 kSpoofingVariant）。
# 语料限定：是；手工条目覆盖自动条目。
㐀	丘	unihan
㐅	五	unihan
㐫	凶	unihan
㐮	襄	unihan
㐯	庸	unihan
㐴	攀	unihan
㐵	儒	unihan
㑄	侮	unihan
㒚	文	unihan
㒰	全	unihan
㒲	才	unihan
㒷	興	unihan
㓁	罔	unihan
㓟	披	unihan
㓮	雕	unihan
㓷	劓	unihan
㕑	厨	unihan
㗖	啖	unihan
㘅	銜	unihan
㚝	奎	unihan
㝛	宿	unihan
㝵	碍	unihan
㞐	居	unihan
㟗	豳	unihan
㠯	以	unihan
㠶	帆	unihan
㡎	幓	unihan
㡿	斥	unihan
㢴	西	unihan
㣶	邅	unihan
㣺	心	unihan
㣼	忍	unihan
㤵	慈	unihan
㥃	悶	unihan
㧃	收	unihan
㧑	撝	unihan
㧛	擥	unihan
㨗	捷	unihan
㩁	搉	unihan
㩜	擥	unihan
㪅	更	unihan
㪯	舉	unihan
㬅	曼	unihan
㭒	耜	unihan
㮣	槩	unihan
㯃	漆	unihan
㴑	溯	unihan
㵒	沸	unihan
㷠	粦	unihan
㽣	域	unihan
㿟	皦	unihan
䀋	鹽	unihan
䀠	瞿	unihan
䀹	睫	unihan
䃅	磾	unihan
䃉	珉	unihan
䄍	蜡	unihan
䆋	秋	unihan
䆼	窠	unihan
䇲	筴	unihan
䈇	罩	unihan
䉵	饌	unihan
䋲	繩	unihan
䌶	䊷	unihan
䌷	綢	unihan
䌹	絅	unihan
䍀	繿	unihan
䍁	繸	unihan
䒒	苕	unihan
䓕	薳	unihan
䕌	稚	unihan
䖈	虐	unihan
䖍	虔	unihan
䖏	處	unihan
䖣	蚤	unihan
䘑	脈	unihan
䘚	卒	unihan
䘛	𧝞	unihan
䙝	褻	unihan
䛡	話	unihan
䛻	誘	unihan
䢙	敗	unihan
䢜	歸	unihan
䣩	醇	unihan
䩄	靦	unihan
䬡	翥	unihan
䯻	髻	unihan
䰞	煮	unihan
䱇	鱓	unihan
䱷	漁	unihan
䶏	涕	unihan
万	萬	unihan
与	與	unihan
专	專	unihan
业	業	unihan
丛	叢	unihan
东	東	unihan
丝	絲	unihan
両	兩	unihan
两	兩	unihan
严	嚴	unihan
丧	喪	unihan
丰	豐	unihan
临	臨	unihan
为	爲	hand
丼	井	unihan
丽	麗	unihan
举	舉	unihan
义	義	unihan
乌	烏	unihan
乐	樂	unihan
乔	喬	unihan
乚	隱	unihan
习	習	unihan
乡	鄉	unihan
书	書	unihan
买	買	unihan
乱	亂	unihan
乹	乾	unihan
亁	乾	unihan
予	餘	unihan
争	爭	unihan
亊	事	unihan
于	於	unihan
亏	於	unihan
亗	歲	unihan
亚	亞	unihan
亝	齊	unihan
产	產	unihan
亩	畝	unihan
亲	親	unihan
亵	褻	unihan
亻	人	unihan
亼	集	unihan
亾	亡	unihan
亿	億	unihan
仅	僅	unihan
仆	僕	unihan
仇	讐	unihan
从	從	unihan
仓	倉	unihan
仝	同	unihan
仟	千	unihan
仪	儀	unihan
仳	丕	unihan
价	價	unihan
仼	任	unihan
份	分	unihan
仾	低	unihan
伃	妤	unihan
伍	五	unihan
众	衆	unihan
优	優	unihan
伙	夥	unihan
会	會	unihan
伟	偉	unihan
传	傳	unihan
伤	傷	unihan
伥	倀	unihan
伦	倫	unihan
伪	僞	unihan
伷	胄	unihan
佇	竚	unihan
佋	紹	unihan
佑	祐	unihan
体	體	unihan
佔	占	unihan
佗	他	unihan
余	餘	unihan
佣	傭	unihan
佥	僉	unihan
佬	姆	unihan
佰	百	unihan
併	並	unihan
侁	詵	unihan
侂	託	unihan
侅	賅	unihan
侎	敉	unihan
侖	崙	unihan
侚	殉	unihan
侠	俠	unihan
侥	僥	unihan
侧	側	unihan
侨	僑	unihan
侪	儕	unihan
係	繫	unihan
俈	嚳	unihan
俓	徑	unihan
俦	儔	unihan
俨	儼	unihan
俪	儷	unihan
俭	儉	unihan
俻	備	unihan
倂	並	unihan
個	个	unihan
倏	倐	unihan
倖	幸	unihan
