# components_v1  K=20  source=ids_lv1.txt@503a655a9436  columns: component	n_chars	kind
艹	5441	stop
口	5160	stop
氵	4769	stop
木	4300	stop
土	3197	stop
扌	3036	stop
亻	2836	stop
日	2761	stop
一	2641	stop
金	2423	stop
𥫗	2398	stop
山	2369	stop
火	2339	stop
女	2264	stop
虫	2112	stop
糸	2058	stop
阝	2020	stop
言	1889	stop
目	1820	stop
王	1748	stop
忄	1717	stop
石	1666	stop
辶	1657	stop
心	1638	stop
鳥	1595	stop
月	1424	stop
禾	1402	stop
魚	1376	stop
丿	1368	stop
米	1340	stop
大	1281	stop
𧾷	1267	stop
又	1213	stop
宀	1213	stop
人	1203	stop
犭	1160	stop
广	1156	stop
攵	1148	stop
疒	1136	stop
刂	1114	stop
丶	1101	stop
貝	1100	stop
示	1087	stop
隹	1072	stop
田	1062	stop
冖	1033	stop
馬	1029	stop
車	976	stop
頁	974	stop
穴	955	stop
雨	934	stop
丨	931	stop
罒	923	stop
門	914	stop
厂	895	stop
衤	889	stop
力	858	stop
巾	858	stop
灬	854	stop
十	853	stop
⺼	830	stop
彳	813	stop
尸	801	stop
欠	798	stop
囗	784	stop
酉	759	stop
皿	756	stop
亠	754	stop
耳	749	stop
止	736	stop
八	730	stop
白	703	stop
钅	696	stop
革	696	stop
牛	694	stop
弓	684	stop
冂	673	stop
毛	661	stop
飠	655	stop
立	628	stop
几	622	stop
工	617	stop
走	612	stop
羽	603	stop
戈	593	stop
二	590	stop
見	574	stop
冫	558	stop
舟	557	stop
廾	548	stop
衣	544	stop
羊	537	stop
子	536	stop
殳	525	stop
水	497	stop
厶	493	stop
凵	492	stop
寸	491	stop
〢	489	stop
勹	484	stop
歹	478	stop
髟	477	stop
鬼	474	stop
爫	472	stop
乚	471	stop
纟	467	stop
刀	465	stop
手	464	stop
𠂉	459	stop
方	458	stop
⺊	440	stop
文	439	stop
攴	432	stop
夂	428	stop
彡	428	stop
皮	423	stop
讠	423	stop
鸟	423	stop
瓦	418	stop
夕	415	stop
小	413	stop
丷	407	stop
斤	401	stop
鱼	400	stop
風	395	stop
⺈	392	stop
虍	389	stop
角	386	stop
匚	385	stop
吅	382	stop
骨	375	stop
豕	373	stop
林	372	stop
身	372	stop
矢	369	stop
犬	367	stop
儿	363	stop
匕	358	stop
干	358	stop
鹿	358	stop
黑	356	stop
齒	344	stop
辛	341	stop
巛	335	stop
𠃊	335	stop
户	332	stop
门	324	stop
从	323	stop
臣	313	stop
分	312	stop
贝	311	stop
豆	307	stop
臼	303	stop
多	301	stop
豸	298	stop
古	297	stop
马	297	stop
非	294	stop
合	292	stop
缶	291	stop
𦥑	283	stop
出	280	stop
天	279	stop
乙	278	stop
者	278	stop
巳	277	stop
コ	275	stop
䒑	274	stop
丆	271	stop
舌	270	stop
亡	268	stop
龹	267	stop
共	264	stop
韋	263	stop
支	260	stop
乂	258	stop
音	257	stop
九	255	stop
炎	255	stop
𰀁	254	stop
卩	253	stop
正	253	stop
且	251	stop
巴	250	stop
比	249	stop
生	248	stop
耒	247	stop
斗	244	stop
元	243	stop
丁	242	stop
少	240	stop
自	240	stop
虎	240	stop
令	238	stop
里	237	stop
足	236	stop
了	233	stop
今	233	stop
至	232	stop
甫	231	stop
谷	231	stop
去	230	stop
玉	229	stop
束	228	stop
片	226	stop
车	226	stop
各	225	stop
句	221	stop
吕	221	stop
页	221	stop
瓜	220	stop
麥	220	stop
不	219	stop
夊	219	stop
屮	219	stop
麻	218	stop
夫	217	stop
勿	216	stop
高	216	stop
𬺢	216	stop
牙	213	stop
中	211	stop
面	211	stop
𠃌	211	stop
𢆶	211	stop
卝	210	stop
圭	210	stop
幺	210	stop
乀	209	stop
其	209	stop
可	209	stop
吉	209	stop
士	209	stop
由	209	stop
肉	208	stop
𠂆	208	stop
占	207	stop
千	206	stop
台	204	stop
艮	203	stop
召	199	stop
爿	199	stop
余	198	stop
⺝	197	stop
覀	197	stop
饣	196	stop
青	195	stop
䖵	194	stop
云	194	stop
乃	193	stop
己	193	stop
光	192	stop
此	189	stop
重	188	stop
回	187	stop
镸	186	stop
𠃍	186	stop
刃	184	stop
包	183	stop
同	183	stop
旦	182	stop
未	181	stop
必	180	stop
⺕	178	stop
丅	178	stop
矛	178	stop
赤	178	stop
來	177	stop
上	176	stop
卜	176	stop
甲	176	stop
⺀	175	stop
辰	175	stop
鼠	175	stop
龷	174	stop
戊	173	stop
𫜹	172	stop
内	170	stop
𭤨	170	stop
𧘇	169	stop
邑	168	stop
气	167	stop
血	166	stop
鬲	166	stop
丙	164	stop
甘	164	stop
𠂤	164	stop
黄	163	stop
夭	162	stop
廿	162	stop
氺	162	stop
𰀪	162	stop
开	161	stop
行	161	stop
主	160	stop
加	160	stop
果	160	stop
𦍌	159	stop
丄	158	stop
丰	158	stop
香	157	stop
弋	156	stop
是	155	stop
肖	155	stop
龴	155	stop
先	154	stop
入	154	stop
北	154	stop
卒	154	stop
勺	152	stop
取	152	stop
丂	151	stop
僉	151	stop
卑	151	stop
兆	150	stop
夾	150	stop
百	150	stop
𠔿	150	stop
告	149	stop
莫	149	stop
咅	148	stop
奇	148	stop
而	148	stop
尢	147	stop
㇈	146	stop
丑	146	stop
有	146	stop
鹵	146	stop
龍	146	stop
䜌	145	stop
用	145	stop
真	145	stop
老	145	stop
昜	144	stop
尾	142	stop
并	142	stop
弗	142	stop
次	142	stop
免	141	stop
巨	141	stop
曷	141	stop
聿	140	stop
乍	139	stop
兀	139	stop
色	139	stop
食	139	stop
三	138	stop
亅	138	stop
于	138	stop
亼	138	stop
川	138	stop
昔	138	stop
爾	138	stop
票	136	stop
𤇾	135	stop
咸	133	stop
屯	133	stop
畐	133	stop
丸	132	stop
也	132	stop
央	132	stop
尤	132	stop
每	132	stop
犮	132	stop
乇	131	stop
公	131	stop
及	131	stop
禺	131	stop
俞	130	stop
列	130	stop
夬	130	stop
幸	130	stop
六	128	stop
予	127	stop
氏	127	stop
畾	127	stop
良	127	stop
夋	126	stop
朿	126	stop
或	125	stop
申	125	stop
𠦝	125	stop
亦	124	stop
辟	124	stop
下	123	stop
交	123	stop
冘	123	stop
君	123	stop
員	123	stop
井	122	stop
𡗜	122	stop
單	121	stop
堯	121	stop
尃	121	stop
尔	121	stop
龰	121	stop
仌	120	stop
凡	120	stop
娄	120	stop
爪	120	stop
玄	120	stop
登	120	stop
见	120	stop
東	119	stop
番	119	stop
𡨄	119	stop
侖	118	stop
卓	118	stop
平	118	stop
玨	118	stop
異	118	stop
尼	117	stop
求	117	stop
鼻	117	stop
丩	116	stop
乞	116	stop
兑	116	stop
易	116	stop
章	116	stop
韭	116	stop
黽	116	stop
吾	115	stop
奄	114	stop
扁	114	stop
