# 形近对表 v1（2026-09-22）。对象：现役 CNN 类表 4654 类。判据：(a) IDS 关系（同结构只差一槽 slot / 同部件异布局 layout）且字体模板 embedding 余弦 ≥ 0.945；(b) 任意两类字体模板余弦 ≥ 0.955（visual，含独体）。余弦来自 r5 主干 171dafe12f59 对 fonts/ 全部字体（49a4dcab1818）渲染均值；IDS 词表 1b4e652f5be9。标定：諭/論 .958 己/巳 .947 日/曰 .961 王/玉 .960 士/土 .975 戌/戍 .961 侯/候 .961；湄/潰 .937 泌/湖 .909 被 (a) 挡在外。随机类对 p50/p99 = .924/.944。
# 用途：形近靶子抽样、训练硬负例批采样、审字卡片提示「存在形近字 X，差在 R 槽 俞/侖」。**不进放行**。
a	b	kind	cos	detail
研	硏	slot	0.9990	⿰:R:幵/开
飮	飲	slot	0.9987	⿰:L:人皀/飠
喩	喻	visual	0.9982	
𥙐	𦊨	visual	0.9967	
俱	倶	visual	0.9966	
𣕕	𫃟	visual	0.9965	
𦊨	𫃟	visual	0.9964	
𢦤	𥙐	visual	0.9963	
𥙐	𫃟	visual	0.9962	
𣕕	𥙐	visual	0.9962	
𣕕	𦊨	visual	0.9960	
𥳽	𫃟	visual	0.9960	
𢦤	𣕕	visual	0.9959	
𣕕	𥳽	visual	0.9959	
𢦤	𫃟	visual	0.9958	
𥳽	𦊨	visual	0.9958	
𥙐	𥳽	visual	0.9957	
𢦤	𦊨	visual	0.9956	
𥙐	𨽾	visual	0.9955	
𨽾	𫃟	visual	0.9955	
𥳽	𨽾	visual	0.9955	
𠷣	𣱁	visual	0.9954	
𣕕	𨽾	visual	0.9954	
𣙗	𥊍	slot	0.9953	⿱:B:目/木
𦊨	𨽾	visual	0.9953	
𢦤	𨽾	visual	0.9952	
𢦤	𥳽	visual	0.9950	
𢑴	𧃲	visual	0.9948	
𠷣	𧃲	visual	0.9948	
𢇮	𧃲	visual	0.9948	
𢇮	𢑴	visual	0.9947	
𠷣	𢇮	visual	0.9946	
𠷣	𮬻	visual	0.9946	
𠷣	𢑴	visual	0.9945	
并	幷	visual	0.9945	
𧃲	𮑮	slot	0.9944	⿱:B:麻米/氵隻
𢇮	𮬻	visual	0.9943	
𢇮	𣱁	visual	0.9942	
𢑴	𮬻	visual	0.9940	
𧃲	𮬻	visual	0.9940	
𢑴	𣱁	visual	0.9940	
𢇮	𥊍	visual	0.9939	
𢇮	𮑮	visual	0.9939	
𢇮	𣙗	visual	0.9938	
𣱁	𮬻	visual	0.9938	
𠷣	𣙗	visual	0.9937	
𠷣	𮙥	visual	0.9937	
𫃟	𮑮	visual	0.9937	
𣱁	𧃲	visual	0.9936	
𮑮	𮙥	visual	0.9935	
𥊍	𮑮	visual	0.9935	
𮑮	𮬻	visual	0.9935	
𣙗	𨽾	visual	0.9934	
𣙗	𧃲	visual	0.9934	
𢇮	𮙥	visual	0.9934	
𠷣	𨽾	visual	0.9934	
𠷣	𣕕	visual	0.9934	
𮙥	𮬻	visual	0.9934	
𧃲	𮙥	visual	0.9934	
𣙗	𮑮	visual	0.9933	
𣙗	𤄊	visual	0.9933	
𠷣	𮑮	visual	0.9933	
𢦤	𣙗	visual	0.9933	
𠷣	𫃟	visual	0.9932	
𢇮	𣕕	visual	0.9931	
𠷣	𥳽	visual	0.9931	
𠷣	𦊨	visual	0.9931	
𢑴	𣙗	visual	0.9931	
𣙗	𫃟	visual	0.9931	
𣕕	𧃲	visual	0.9931	
𠷣	𥙐	visual	0.9930	
𣙗	𣱁	visual	0.9930	
𣱁	𮑮	visual	0.9930	
𢇮	𫃟	visual	0.9930	
𢦤	𮑮	visual	0.9930	
𠷣	𢦤	visual	0.9930	
𣙗	𥙐	visual	0.9929	
𣙗	𦊨	visual	0.9929	
𧃲	𫃟	visual	0.9929	
𣕕	𣙗	visual	0.9929	
𢇮	𥙐	visual	0.9928	
𨽾	𮬻	visual	0.9928	
𠷣	𥊍	visual	0.9928	
𢇮	𨽾	visual	0.9928	
𤄊	𮬻	visual	0.9928	
𣙗	𮙥	visual	0.9928	
𥊍	𨽾	visual	0.9928	
𥙐	𮬻	visual	0.9928	
𥳽	𮬻	visual	0.9928	
𢦤	𮬻	visual	0.9928	
𦊨	𧃲	visual	0.9928	
𫃟	𮬻	visual	0.9928	
𣙗	𮬻	visual	0.9928	
𦊨	𮑮	visual	0.9927	
𢑴	𤄊	visual	0.9927	
𣕕	𮑮	visual	0.9927	
𤄊	𧃲	visual	0.9927	
𤄊	𨽾	visual	0.9926	
𫃟	𮙥	visual	0.9926	
𢑴	𮙥	visual	0.9926	
𤄊	𦊨	visual	0.9926	
𢦤	𧃲	visual	0.9926	
𣱁	𥊍	visual	0.9925	
𣕕	𮬻	visual	0.9925	
𢇮	𢦤	visual	0.9925	
𥳽	𮑮	visual	0.9925	
𢑴	𮑮	visual	0.9925	
𣕕	𮞉	visual	0.9925	
𥊍	𫃟	visual	0.9925	
𢇮	𤄊	visual	0.9924	
𧃲	𨽾	visual	0.9924	
𥊍	𧃲	visual	0.9924	
𨽾	𮑮	visual	0.9924	
𠷣	𤄊	visual	0.9923	
𫃟	𮞉	visual	0.9923	
𣙗	𥳽	visual	0.9923	
𢦤	𥊍	visual	0.9923	
𣱁	𮙥	visual	0.9923	
𢦤	𤄊	visual	0.9923	
𢑴	𥊍	visual	0.9923	
𢇮	𥳽	visual	0.9923	
𤄊	𥙐	visual	0.9922	
𥙐	𮞉	visual	0.9922	
𥊍	𮙥	visual	0.9922	
𦊨	𮬻	visual	0.9922	
𥳽	𧃲	visual	0.9921	
𢇮	𦊨	visual	0.9921	
