== border_detect Step1 边框探测：206 页
[1/1236] 0% border_detect p1: 新鲜，跳过
[2/1236] 0% border_detect p2: 新鲜，跳过
[3/1236] 0% border_detect p3: 新鲜，跳过
[4/1236] 0% border_detect p4: 完成 0.97s
[5/1236] 0% border_detect p5: 完成 0.86s
[6/1236] 0% border_detect p6: 完成 0.82s
[7/1236] 0% border_detect p7: 完成 0.90s
[8/1236] 0% border_detect p8: 完成 0.82s
[9/1236] 0% border_detect p9: 完成 0.84s
[10/1236] 0% border_detect p10: 完成 0.90s
[11/1236] 0% border_detect p11: 完成 0.93s
[12/1236] 0% border_detect p12: 完成 0.95s
[13/1236] 1% border_detect p13: 完成 0.83s
[14/1236] 1% border_detect p14: 完成 0.84s
[15/1236] 1% border_detect p15: 完成 0.96s
[16/1236] 1% border_detect p16: 完成 0.87s
[17/1236] 1% border_detect p17: 完成 0.81s
[18/1236] 1% border_detect p18: 完成 0.91s
[19/1236] 1% border_detect p19: 完成 0.83s
[20/1236] 1% border_detect p20: 完成 0.88s
[21/1236] 1% border_detect p21: 完成 0.95s
[22/1236] 1% border_detect p22: 完成 0.82s
[23/1236] 1% border_detect p23: 完成 0.97s
[24/1236] 1% border_detect p24: 完成 0.84s
[25/1236] 2% border_detect p25: 完成 0.95s
[26/1236] 2% border_detect p26: 完成 0.81s
[27/1236] 2% border_detect p27: 完成 0.93s
[28/1236] 2% border_detect p28: 完成 0.96s
[29/1236] 2% border_detect p29: 完成 0.83s
[30/1236] 2% border_detect p30: 完成 0.84s
[31/1236] 2% border_detect p31: 完成 0.99s
[32/1236] 2% border_detect p32: 完成 0.77s
[33/1236] 2% border_detect p33: 完成 0.79s
[34/1236] 2% border_detect p34: 完成 0.84s
[35/1236] 2% border_detect p35: 完成 0.83s
[36/1236] 2% border_detect p36: 完成 0.80s
[37/1236] 2% border_detect p37: 完成 0.77s
[38/1236] 3% border_detect p38: 完成 0.82s
[39/1236] 3% border_detect p39: 完成 0.90s
[40/1236] 3% border_detect p40: 完成 0.94s
[41/1236] 3% border_detect p41: 完成 0.75s
[42/1236] 3% border_detect p42: 完成 0.83s
[43/1236] 3% border_detect p43: 完成 0.80s
[44/1236] 3% border_detect p44: 完成 0.82s
[45/1236] 3% border_detect p45: 完成 0.89s
[46/1236] 3% border_detect p46: 完成 0.79s
[47/1236] 3% border_detect p47: 完成 0.89s
[48/1236] 3% border_detect p48: 完成 0.87s
[49/1236] 3% border_detect p49: 完成 0.86s
[50/1236] 4% border_detect p50: 完成 0.94s
[51/1236] 4% border_detect p51: 完成 0.72s
[52/1236] 4% border_detect p52: 完成 0.76s
[53/1236] 4% border_detect p53: 完成 0.97s
[54/1236] 4% border_detect p54: 完成 0.82s
[55/1236] 4% border_detect p55: 完成 0.79s
[56/1236] 4% border_detect p56: 完成 0.89s
[57/1236] 4% border_detect p57: 完成 0.80s
[58/1236] 4% border_detect p58: 完成 0.83s
[59/1236] 4% border_detect p59: 完成 0.83s
[60/1236] 4% border_detect p60: 完成 0.79s
[61/1236] 4% border_detect p61: 完成 1.31s
[62/1236] 5% border_detect p62: 完成 1.16s
[63/1236] 5% border_detect p63: 完成 0.98s
[64/1236] 5% border_detect p64: 完成 0.82s
[65/1236] 5% border_detect p65: 完成 0.76s
[66/1236] 5% border_detect p66: 完成 0.84s
[67/1236] 5% border_detect p67: 完成 0.97s
[68/1236] 5% border_detect p68: 完成 1.01s
[69/1236] 5% border_detect p69: 完成 0.87s
[70/1236] 5% border_detect p70: 完成 0.98s
[71/1236] 5% border_detect p71: 完成 0.80s
[72/1236] 5% border_detect p72: 完成 0.84s
[73/1236] 5% border_detect p73: 完成 0.76s
[74/1236] 5% border_detect p74: 完成 0.81s
[75/1236] 6% border_detect p75: 完成 0.80s
[76/1236] 6% border_detect p76: 完成 0.91s
[77/1236] 6% border_detect p77: 完成 0.82s
[78/1236] 6% border_detect p78: 完成 0.79s
[79/1236] 6% border_detect p79: 完成 0.74s
[80/1236] 6% border_detect p80: 完成 0.81s
[81/1236] 6% border_detect p81: 完成 0.79s
[82/1236] 6% border_detect p82: 完成 0.83s
[83/1236] 6% border_detect p83: 完成 0.77s
[84/1236] 6% border_detect p84: 完成 0.93s
[85/1236] 6% border_detect p85: 完成 0.80s
[86/1236] 6% border_detect p86: 完成 0.79s
[87/1236] 7% border_detect p87: 完成 0.77s
[88/1236] 7% border_detect p88: 完成 0.80s
[89/1236] 7% border_detect p89: 完成 0.74s
[90/1236] 7% border_detect p90: 完成 0.73s
[91/1236] 7% border_detect p91: 完成 0.72s
[92/1236] 7% border_detect p92: 完成 0.79s
[93/1236] 7% border_detect p93: 完成 0.75s
[94/1236] 7% border_detect p94: 完成 0.76s
[95/1236] 7% border_detect p95: 完成 0.75s
[96/1236] 7% border_detect p96: 完成 0.77s
[97/1236] 7% border_detect p97: 完成 0.73s
[98/1236] 7% border_detect p98: 完成 0.77s
[99/1236] 8% border_detect p99: 完成 0.73s
[100/1236] 8% border_detect p100: 完成 0.75s
[101/1236] 8% border_detect p101: 完成 0.79s
[102/1236] 8% border_detect p102: 完成 0.74s
[103/1236] 8% border_detect p103: 完成 0.84s
[104/1236] 8% border_detect p104: 完成 0.90s
[105/1236] 8% border_detect p105: 完成 0.73s
[106/1236] 8% border_detect p106: 完成 0.79s
[107/1236] 8% border_detect p107: 完成 0.70s
[108/1236] 8% border_detect p108: 完成 0.82s
[109/1236] 8% border_detect p109: 完成 0.78s
[110/1236] 8% border_detect p110: 完成 0.77s
[111/1236] 8% border_detect p111: 完成 0.93s
[112/1236] 9% border_detect p112: 完成 0.84s
[113/1236] 9% border_detect p113: 完成 0.83s
[114/1236] 9% border_detect p114: 完成 0.93s
[115/1236] 9% border_detect p115: 完成 0.89s
[116/1236] 9% border_detect p116: 完成 0.78s
[117/1236] 9% border_detect p117: 完成 0.86s
[118/1236] 9% border_detect p118: 完成 0.81s
[119/1236] 9% border_detect p119: 完成 1.03s
[120/1236] 9% border_detect p120: 完成 0.99s
[121/1236] 9% border_detect p121: 完成 0.84s
[122/1236] 9% border_detect p122: 完成 0.92s
[123/1236] 9% border_detect p123: 完成 0.78s
[124/1236] 10% border_detect p124: 完成 0.84s
[125/1236] 10% border_detect p125: 完成 0.80s
[126/1236] 10% border_detect p126: 完成 0.88s
[127/1236] 10% border_detect p127: 完成 0.89s
[128/1236] 10% border_detect p128: 完成 0.84s
[129/1236] 10% border_detect p129: 完成 0.92s
[130/1236] 10% border_detect p130: 完成 1.03s
[131/1236] 10% border_detect p131: 完成 0.77s
[132/1236] 10% border_detect p132: 完成 0.90s
[133/1236] 10% border_detect p133: 完成 0.94s
[134/1236] 10% border_detect p134: 完成 1.06s
[135/1236] 10% border_detect p135: 完成 0.85s
[136/1236] 11% border_detect p136: 完成 0.86s
[137/1236] 11% border_detect p137: 完成 0.95s
[138/1236] 11% border_detect p138: 完成 1.05s
[139/1236] 11% border_detect p139: 完成 0.98s
[140/1236] 11% border_detect p140: 完成 1.02s
[141/1236] 11% border_detect p141: 完成 0.91s
[142/1236] 11% border_detect p142: 完成 0.85s
[143/1236] 11% border_detect p143: 完成 0.99s
[144/1236] 11% border_detect p144: 完成 0.80s
[145/1236] 11% border_detect p145: 完成 0.88s
[146/1236] 11% border_detect p146: 完成 0.91s
[147/1236] 11% border_detect p147: 完成 0.85s
[148/1236] 11% border_detect p148: 完成 0.82s
[149/1236] 12% border_detect p149: 完成 0.95s
[150/1236] 12% border_detect p150: 完成 0.85s
[151/1236] 12% border_detect p151: 完成 0.96s
[152/1236] 12% border_detect p152: 完成 0.96s
[153/1236] 12% border_detect p153: 完成 0.88s
[154/1236] 12% border_detect p154: 完成 0.80s
[155/1236] 12% border_detect p155: 完成 0.82s
[156/1236] 12% border_detect p156: 完成 0.83s
[157/1236] 12% border_detect p157: 完成 1.09s
[158/1236] 12% border_detect p158: 完成 0.90s
[159/1236] 12% border_detect p159: 完成 0.93s
[160/1236] 12% border_detect p160: 完成 1.02s
[161/1236] 13% border_detect p161: 完成 0.82s
[162/1236] 13% border_detect p162: 完成 0.86s
[163/1236] 13% border_detect p163: 完成 0.99s
[164/1236] 13% border_detect p164: 完成 0.90s
[165/1236] 13% border_detect p165: 完成 0.89s
[166/1236] 13% border_detect p166: 完成 0.94s
[167/1236] 13% border_detect p167: 完成 1.04s
[168/1236] 13% border_detect p168: 完成 0.84s
[169/1236] 13% border_detect p169: 完成 0.84s
[170/1236] 13% border_detect p170: 完成 1.04s
[171/1236] 13% border_detect p171: 完成 1.01s
[172/1236] 13% border_detect p172: 完成 0.89s
[173/1236] 13% border_detect p173: 完成 0.88s
